Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,150pF,C_0603_1608Metric,164.725,-150,180,top
C2,470nF,C_0805_2012Metric,158.6,-148.2,90,top
C3,220nF,C_0603_1608Metric,161.3,-146.5,0,top
C4,1uF,C_0805_2012Metric,172.4,-141.8,-90,top
C5,470nF,C_0603_1608Metric,172.25,-145.5,0,top
C6,680pF,C_0603_1608Metric,168.825,-149,180,top
C7,220nF,C_0805_2012Metric,173,-149.8,90,top
C8,10uF,C_0805_2012Metric,180.3,-152.05,180,top
C9,10uF,C_0805_2012Metric,195.5,-131.5,90,top
C10,470uF,CP_Radial_D10.0mm_P5.00mm,196.4,-142.7,-90,top
C11,10uF,C_0805_2012Metric,193.5,-131.5,90,top
C12,470uF,CP_Radial_D10.0mm_P5.00mm,147,-148.632323,-90,top
C13,10uF,C_0805_2012Metric,151.8,-142.5,-90,top
C14,10uF,C_0805_2012Metric,151.8,-139,90,top
C15,10uF,C_0805_2012Metric,153.8,-139,90,top
C16,10uF,C_0805_2012Metric,153.8,-142.5,-90,top
C17,10uF,C_0805_2012Metric,153,-146,0,top
C18,10uF,C_0805_2012Metric,197.5,-131.45,90,top
C19,10uF,C_0805_2012Metric,199.5,-131.45,90,top
C20,10uF,C_0805_2012Metric,201.5,-131.45,90,top
D1,D_Schottky,D_SMA,181.25,-147.4,-90,top
J1,Conn_01x02_Socket,TerminalBlock_MetzConnect_Type055_RT01502HDWU_1x02_P5.00mm_Horizontal,146.2325,-137.5,-90,top
J2,Conn_01x02_Socket,TerminalBlock_MetzConnect_Type055_RT01502HDWU_1x02_P5.00mm_Horizontal,207.5675,-134.2,90,top
J4,Conn_01x02_Pin,PinHeader_1x02_P2.54mm_Vertical,156,-154.54,180,top
L1,10uH,IND_SER2918H_COC,168.4,-120.8063,0,top
MOSFET1,2N7002,SOT-23TO-236_318-08_ONS,162,-151.9586,0,top
Q1,CSD18540Q5B,DNK0008A,176.5,-142.75,90,top
Q2,CSD18540Q5B,DNK0008A,186,-135.1,0,top
Q3,CSD18540Q5B,DNK0008A,183.7,-140.9,0,top
Q4,CSD18540Q5B,DNK0008A,179.6,-134.6,-90,top
R1,49.9kΩ,R_0603_1608Metric,157.2,-144.8,-90,top
R2,5.1kΩ,R_0603_1608Metric,155.6,-144.9,90,top
R3,100Ω,R_0603_1608Metric,159.825,-155,180,top
R4,3.01Ω,R_0603_1608Metric,162,-143.8,-90,top
R5,2mΩ,R_2512_6332Metric,159,-140.25,0,top
R6,160kΩ,R_0603_1608Metric,163,-155,180,top
R7,56kΩ,R_0603_1608Metric,161.3,-148.1,0,top
R8,160kΩ,R_0603_1608Metric,172.375,-147,0,top
R9,2Ω,R_0603_1608Metric,185.9,-145.9,-90,top
R10,2kΩ,R_0603_1608Metric,175.4,-147,0,top
R11,12kΩ,R_0603_1608Metric,172.2,-152.5,0,top
R12,56kΩ,R_0603_1608Metric,189,-145.175,-90,top
R13,100Ω,R_0603_1608Metric,175.5,-149,0,top
R14,1.5kΩ,R_0603_1608Metric,175.5,-150.6,180,top
R15,270kΩ,R_0603_1608Metric,187.47,-145.175,-90,top
R16,2Ω,R_0603_1608Metric,184.1,-145.9,-90,top
R17,2Ω,R_0603_1608Metric,184.8,-148.2,180,top
R18,2Ω,R_0603_1608Metric,178.4,-148.4,-90,top
U1,LM5122QMHX/NOPB,HTSSOP20,166.8448,-144.675,0,top
